rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
01/01/2000,0:08:08,-258.3,82.52,977.54,1.66,-2.21,2.02,-5.85,34.35,8.7
01/01/2000,0:08:08,-248.54,79.59,979.49,2.56,-0.5,-0.75,-6.6,35.4,9
01/01/2000,0:08:08,-236.33,83.5,969.73,0.87,1.38,-0.05,-6.15,33.6,9
01/01/2000,0:08:09,-246.09,74.22,968.26,2.79,-2.05,-1.21,-6,34.95,8.1
01/01/2000,0:08:09,-234.38,77.64,968.26,1.91,-2.05,-0.96,-6.6,34.65,6.9
01/01/2000,0:08:09,-233.89,74.71,979.98,2.19,-2.36,0.74,-6.15,34.35,8.25
01/01/2000,0:08:09,-243.16,76.66,982.91,1.19,-0.92,-3.12,-5.4,33.6,7.95
01/01/2000,0:08:09,-226.07,83.98,988.28,1.2,3.73,0.72,-6.15,33.6,7.95
01/01/2000,0:08:09,-241.21,85.94,979,1.77,-1.4,0.44,-6,35.25,7.05
01/01/2000,0:08:09,-235.35,73.24,976.07,0.92,-0.32,0.34,-6,33.75,8.4
01/01/2000,0:08:09,-239.75,83.98,970.21,-1.36,-0.23,-2.48,-6,36,6.6
01/01/2000,0:08:09,-240.72,73.24,974.61,0.22,0.89,-0.79,-5.85,35.1,7.95
01/01/2000,0:08:09,-239.75,69.82,979.49,0.85,1.82,0.87,-6.9,34.35,8.25
01/01/2000,0:08:10,-250.98,78.12,982.42,0.83,-1.89,1.4,-6.75,33.3,8.4
01/01/2000,0:08:10,-234.86,70.8,980.47,1.44,-1.03,0.98,-5.7,34.95,9.6
01/01/2000,0:08:10,-246.09,86.43,979,-1.08,0.28,0.27,-6,35.25,7.35
01/01/2000,0:08:10,-229.98,70.31,976.56,1.27,1.51,-0.95,-6,34.05,8.1
01/01/2000,0:08:10,-229.98,76.17,967.77,2.91,0.02,1.36,-6.3,35.25,8.1
01/01/2000,0:08:10,-234.86,79.1,984.38,2.44,-3.24,1.47,-6.75,34.95,8.4
01/01/2000,0:08:10,-232.91,80.57,982.42,-1.71,0.08,0.55,-6.75,34.95,7.35
01/01/2000,0:08:10,-235.84,68.36,982.91,-1.02,-1.58,0.58,-5.4,35.1,7.5
01/01/2000,0:08:10,-235.35,78.12,989.26,2.71,-2.94,-2.55,-5.25,34.95,9.6
01/01/2000,0:08:10,-229.98,59.08,970.7,0.91,-2.92,0.82,-4.65,33.6,9
01/01/2000,0:08:11,-235.35,72.27,970.7,-1.31,2.28,-0.9,-6.3,34.5,7.8
01/01/2000,0:08:11,-242.68,72.27,982.42,0.38,1.34,-1.79,-5.4,33.6,7.95
01/01/2000,0:08:11,-230.47,76.66,976.07,1.82,-2.69,-0.07,-5.85,33.6,8.25
01/01/2000,0:08:11,-231.45,86.43,976.07,0.43,-3.18,-1.37,-6.6,35.4,8.7
01/01/2000,0:08:11,-198.24,79.59,992.68,2.15,-4.77,-2.05,-5.1,35.4,8.25
01/01/2000,0:08:11,-241.21,70.31,973.14,-1.31,3.18,-0.6,-5.4,34.65,7.2
