rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
01/01/2000,0:09:33,32.71,-5.37,-1014.65,-0.24,2.15,-2.02,3.6,37.05,-63.15
01/01/2000,0:09:33,34.67,-12.7,-1009.77,3.15,0.03,0.65,4.5,37.2,-64.05
01/01/2000,0:09:33,47.85,-8.79,-1015.14,0.49,-2.91,-0.06,3.9,35.85,-63.9
01/01/2000,0:09:33,30.76,-1.46,-999.02,0.54,-5.15,-3.18,3.75,36,-63
01/01/2000,0:09:33,48.34,-6.35,-1006.84,-2.24,0.56,-5.08,4.2,37.95,-63.3
01/01/2000,0:09:33,-82.52,-0.49,-1020.02,-1.35,-6.69,1.96,4.35,36.6,-63.15
01/01/2000,0:09:33,39.06,20.02,-1013.67,0.97,-4.65,2.62,4.5,35.25,-64.8
01/01/2000,0:09:33,36.13,15.14,-1014.65,1.13,-3.79,-1.06,2.85,36.6,-63.45
01/01/2000,0:09:33,68.36,-3.42,-1015.62,2.27,-1.02,2.27,5.1,35.4,-63.15
01/01/2000,0:09:33,25.88,4.88,-1008.79,3.04,-0.33,7.47,4.65,36.6,-64.2
01/01/2000,0:09:34,49.8,10.25,-1002.93,-2.15,0.68,3.83,5.1,36.15,-63.15
01/01/2000,0:09:34,98.14,9.77,-999.51,1.32,0.53,3.1,4.35,36.15,-62.1
01/01/2000,0:09:34,120.12,0.98,-997.07,4.69,2.25,6.45,4.95,36,-64.35
01/01/2000,0:09:34,79.59,0.98,-1008.3,-0.08,0.18,-3.15,3,36.45,-64.8
01/01/2000,0:09:34,74.71,-4.88,-1011.23,-0.95,1.08,1.52,4.5,37.95,-64.8
01/01/2000,0:09:34,47.36,-24.41,-949.22,-0.15,7.23,-5.98,3.6,36.15,-64.65
01/01/2000,0:09:34,70.31,-2.44,-1003.91,3.73,-3.9,1.44,3,36,-65.1
01/01/2000,0:09:34,52.73,-9.28,-1025.39,1.76,-0.73,-3.39,3.9,36.15,-64.95
01/01/2000,0:09:34,104.49,4.88,-1012.21,-2,-1.69,-1.27,3.6,36.6,-63.9
01/01/2000,0:09:34,89.84,-0.49,-990.72,-2.53,1.21,0.06,3.45,37.5,-64.35
01/01/2000,0:09:35,120.12,13.67,-998.05,2.24,-3.69,-0.17,3,35.25,-63.75
01/01/2000,0:09:35,75.2,-7.32,-993.65,5.24,-1.6,-1.04,5.1,36.15,-64.65
01/01/2000,0:09:35,148.93,5.37,-1023.44,-3.21,4.32,-3.07,2.85,36.15,-64.2
01/01/2000,0:09:35,29.79,-0.49,-999.51,1.69,-2.24,-0.18,4.35,35.85,-65.25
01/01/2000,0:09:35,81.05,-1.95,-1005.37,2.51,0.04,1.04,3.75,36.45,-65.55
01/01/2000,0:09:35,94.24,1.95,-1015.14,3.45,-2.08,2.17,5.1,36.6,-64.65
01/01/2000,0:09:35,34.67,9.77,-1029.79,2.66,-2.63,-0.4,4.65,35.85,-63.9
01/01/2000,0:09:35,82.03,13.18,-1019.53,0.03,0.66,1.13,3.9,35.1,-65.7
01/01/2000,0:09:35,48.34,6.35,-1009.28,-2.31,0.67,1.25,3.75,36.45,-64.35
01/01/2000,0:09:36,55.18,-8.3,-1005.86,1.1,1.6,-1,3.6,35.4,-64.65
01/01/2000,0:09:36,77.15,5.37,-1022.95,2.31,-1.36,1.67,3.6,36.15,-65.25
01/01/2000,0:09:36,83.5,-10.74,-1017.58,4.52,1.19,1.24,2.85,37.35,-65.25
01/01/2000,0:09:36,-32.23,-21,-1050.29,-1.89,-0.27,-0.89,4.5,35.7,-65.1
01/01/2000,0:09:36,97.66,12.21,-997.56,0.33,1.91,-4.47,3.45,35.7,-65.1
01/01/2000,0:09:36,0.98,5.37,-1018.07,10.08,4.51,1.63,3,36,-65.85
01/01/2000,0:09:36,19.04,8.3,-976.56,2.41,-5.52,17.47,3.75,37.5,-66.6
01/01/2000,0:09:36,71.78,-0.49,-1039.06,3.1,-5.35,-3.1,3.75,37.5,-65.55
01/01/2000,0:09:36,61.04,-13.67,-1008.79,0.57,-1.25,-4.34,4.2,36.75,-65.1
01/01/2000,0:09:36,34.18,4.39,-1013.18,2.25,3.72,-4.5,3.45,36,-65.85
01/01/2000,0:09:37,72.27,2.93,-1032.23,2.5,0.32,-0.27,2.25,36.75,-65.85
01/01/2000,0:09:37,118.16,7.32,-985.84,-2.09,-1.95,-1.93,4.35,37.35,-66.75
01/01/2000,0:09:37,6.84,-20.02,-1000.49,1.7,-5.52,-2.98,4.2,35.25,-65.1
01/01/2000,0:09:37,45.9,-5.37,-1004.39,1.25,3.01,-1.27,3.3,35.85,-65.25
01/01/2000,0:09:37,64.94,-9.28,-1012.21,0.47,0.89,-1.3,4.5,35.85,-65.7
01/01/2000,0:09:37,102.05,29.3,-991.7,-0.56,-2.32,-3.93,3.3,36.6,-67.2
01/01/2000,0:09:37,58.59,-14.16,-1015.14,4.75,1.19,2.77,4.65,37.8,-66.45
01/01/2000,0:09:37,63.48,40.53,-1015.14,6.9,1.61,8.05,4.65,37.8,-66
01/01/2000,0:09:37,62.99,-17.58,-990.23,-3.27,4.11,-0.85,3.6,35.4,-66.75
01/01/2000,0:09:37,74.22,10.25,-1045.41,3.12,2.63,-6.79,3.3,36.15,-65.7
01/01/2000,0:09:38,67.38,6.84,-1018.55,1.47,2.95,-3.66,3.45,36.45,-65.1
