Tm,C,PF,PG,SF,SG,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,Rk
ATL,6,4,3,3,6,25.136363636363637,4.988514947885933,20.0,22.0,24.0,28.25,42.0,42.04545454545455,28.646411347966136,1.0,18.25,47.0,66.25,82.0,18.636363636363637,25.295483230440013,0.0,0.25,3.5,34.0,81.0,16.89090909090909,8.324485346077335,4.0,9.875,16.0,24.25,30.9,2.7363636363636363,1.9159842564581973,0.0,1.2249999999999999,2.0,3.925,7.6,6.050000000000001,3.999494015616523,1.0,3.2,4.75,8.350000000000001,15.5,0.45836363636363625,0.1805798980149772,0.0,0.402,0.43,0.494,1.0,0.8681818181818183,0.6221210750606606,0.0,0.42500000000000004,0.8,1.225,2.2,2.4318181818181817,1.7122489704469197,0.0,1.125,2.2,3.25,6.0,0.34690476190476194,0.18960509084987795,0.0,0.312,0.344,0.385,1.0,1.8727272727272732,1.582698665234499,0.0,0.8,1.6,2.7,6.7,3.622727272727272,2.7676587695984245,0.0,1.9,2.6,5.074999999999999,11.0,0.47809523809523813,0.1436766873093561,0.0,0.457,0.498,0.535,0.7140000000000001,0.542909090909091,0.25231611108571705,0.0,0.47400000000000003,0.5225,0.5660000000000001,1.5,1.1045454545454543,1.121851052301411,0.0,0.35,0.7,1.625,4.2,1.5090909090909093,1.404383983209141,0.0,0.39999999999999997,1.05,2.0250000000000004,5.1,0.7173157894736844,0.12033566601228368,0.5,0.6305000000000001,0.726,0.796,1.0,0.9090909090909093,0.7939707868615888,0.0,0.4,0.75,1.0750000000000002,3.6,2.4863636363636363,1.4723791742959536,0.0,1.4,2.1500000000000004,3.1250000000000004,6.2,3.4,2.1228911104120876,0.0,2.2,3.15,3.975,9.8,1.5909090909090908,1.7408014276159156,0.0,0.6,1.1,2.075,8.1,0.5454545454545454,0.3863470839336946,0.0,0.3,0.4,0.8500000000000001,1.3,0.3318181818181818,0.306106678629034,0.0,0.1,0.3,0.5,1.1,1.031818181818182,0.9015258830166317,0.0,0.42500000000000004,0.75,1.65,3.8,1.7227272727272729,0.8695547947803756,0.0,1.075,1.7999999999999998,2.275,3.3,7.449999999999999,5.277152009686033,0.0,3.3499999999999996,5.5,10.775000000000002,19.5,26
BOS,5,4,3,1,4,25.58823529411765,3.623858846751136,20.0,23.0,25.0,28.0,32.0,52.05882352941177,27.774697541636918,1.0,36.0,66.0,74.0,80.0,24.11764705882353,28.89827493324899,0.0,1.0,14.0,53.0,79.0,19.111764705882354,10.002429851849822,2.5,9.5,22.7,27.5,33.0,3.4529411764705884,2.3308039511772605,0.9,1.4,3.0,5.0,9.0,7.358823529411764,4.9465971666805215,1.6,2.9,7.1,10.7,18.5,0.4813529411764706,0.07972055975128889,0.381,0.447,0.465,0.48700000000000004,0.706,1.1058823529411763,1.0490892408628152,0.0,0.4,1.1,1.5,4.0,3.0,2.619637379485947,0.0,1.1,3.0,4.3,10.0,0.3554,0.04105188354822642,0.25,0.33849999999999997,0.36,0.38149999999999995,0.41,2.3294117647058825,1.6327755149906376,0.6,1.1,1.8,3.1,6.4,4.364705882352942,3.098374811185411,1.2,2.2,3.0,6.1,12.0,0.5470588235294117,0.07140156737445902,0.42200000000000004,0.511,0.531,0.6,0.706,0.5463529411764706,0.06219318810817485,0.429,0.513,0.5329999999999999,0.586,0.706,1.1588235294117646,0.8888608042948934,0.0,0.4,1.0,1.8,3.2,1.5058823529411764,1.0443123265068346,0.0,0.7,1.2,2.3,3.7,0.7388750000000001,0.12933773617935332,0.5,0.6472499999999999,0.7955,0.84675,0.873,0.9352941176470588,0.4568111979672076,0.1,0.7,0.9,1.1,1.8,2.6823529411764717,1.5906898244620347,0.0,1.7,2.2,3.8,5.2,3.594117647058823,1.7526660364410893,1.1,2.5,3.4,4.7,6.7,2.0823529411764703,1.7878881725787714,0.2,0.8,1.5,3.0,6.9,0.6705882352941178,0.5083855646583025,0.0,0.3,0.6,0.9,1.8,0.4235294117647058,0.40082635230967834,0.0,0.1,0.3,0.6,1.3,0.8705882352941177,0.7200388061437669,0.0,0.3,0.8,1.5,2.6,1.6705882352941177,0.9060661578234457,0.0,0.9,1.9,2.5,3.0,9.170588235294119,6.287861789380627,2.3,3.3,8.9,13.6,23.8,9
BRK,3,3,3,4,6,25.31578947368421,3.7720114230259956,19.0,23.5,25.0,27.0,33.0,45.10526315789474,28.951865679361486,1.0,15.0,56.0,67.5,81.0,21.57894736842105,28.50207748660844,0.0,0.0,8.0,25.0,81.0,18.894736842105264,8.552678182509105,4.3,10.75,20.5,26.25,30.2,3.115789473684211,1.8050125139285311,1.0,1.75,3.0,3.8,8.1,6.936842105263157,4.245809767852926,2.4,3.6,7.1,8.649999999999999,18.7,0.4688947368421052,0.10108516471923953,0.335,0.402,0.434,0.5449999999999999,0.667,0.9315789473684211,0.9297864937589748,0.0,0.1,0.9,1.5,2.9,2.794736842105263,2.3083119575930917,0.0,0.7,2.6,4.35,7.8,0.23073684210526313,0.15090351667548785,0.0,0.1165,0.297,0.3385,0.474,2.189473684210527,1.2999550149661612,0.7,1.1,2.0,2.85,5.2,4.1421052631578945,2.6604752686260325,1.3,2.15,3.7,5.65,10.9,0.5513157894736842,0.1413463251228379,0.342,0.46900000000000003,0.528,0.6245,1.0,0.5236842105263159,0.07567918591849776,0.42,0.477,0.512,0.601,0.667,1.4157894736842107,1.0468275661332074,0.0,0.65,1.2,2.05,4.2,1.989473684210527,1.2692494443752118,0.2,1.1,1.8,2.8,5.2,0.6526315789473685,0.24687698477994072,0.0,0.635,0.7140000000000001,0.7945,0.8640000000000001,0.8842105263157893,0.7104483388011145,0.0,0.4,0.7,1.15,2.7,2.8,1.462114146630754,0.4,1.9500000000000002,2.9,3.1500000000000004,6.0,3.6736842105263157,2.0975758773888273,0.6,2.45,3.7,3.9,8.6,1.7578947368421052,1.7385548882377009,0.0,0.8,1.3,2.0,7.0,0.505263157894737,0.299023752699284,0.0,0.3,0.5,0.6499999999999999,1.2,0.28421052631578947,0.3354319899518246,0.0,0.05,0.3,0.35,1.5,1.0421052631578949,0.7647191129018726,0.0,0.5,1.1,1.25,3.1,1.6947368421052629,0.8051733313810457,0.1,1.0,1.9,2.3,2.8,8.568421052631578,5.064588678217824,2.1,4.7,8.5,11.0,21.1,14
CHI,3,3,5,4,7,23.772727272727273,2.543559900945321,19.0,22.25,23.5,25.0,30.0,38.45454545454545,23.921951012819594,1.0,16.75,41.0,55.75,81.0,18.636363636363637,19.12252587057985,0.0,3.0,12.5,35.0,62.0,22.740909090909096,8.585683492824613,1.0,17.675,23.5,29.599999999999998,34.9,3.8863636363636362,2.2149482321254528,0.0,2.225,3.5,5.574999999999999,8.4,8.577272727272728,4.636904942511485,0.0,5.25,7.35,12.200000000000001,18.0,0.4494761904761906,0.054207581616983296,0.33299999999999996,0.419,0.447,0.474,0.568,0.8954545454545454,0.8073927897145954,0.0,0.3,0.75,1.1749999999999998,2.6,2.5136363636363632,1.9842943940918245,0.0,1.125,2.1,3.2749999999999995,7.1,0.31766666666666665,0.0996129175023668,0.0,0.271,0.354,0.374,0.488,2.986363636363636,1.843210308788512,0.0,1.4499999999999997,2.25,4.225,6.5,6.0636363636363635,3.6634027188557194,0.0,3.0,5.15,8.9,13.7,0.49019047619047623,0.0551240592188375,0.37,0.455,0.479,0.523,0.6,0.5003809523809524,0.05156983245122693,0.37200000000000005,0.461,0.5,0.531,0.583,1.5090909090909088,1.2355484962477543,0.0,0.8250000000000001,1.1,1.8749999999999998,5.0,1.9318181818181814,1.455494144084133,0.0,1.2,1.5,2.25,6.0,0.7643809523809524,0.08942285848175295,0.605,0.685,0.7709999999999999,0.8320000000000001,0.9059999999999999,0.8227272727272728,0.6255906300158566,0.0,0.32499999999999996,0.6499999999999999,1.25,2.1,3.3272727272727276,1.8835583898016561,0.0,2.075,3.1,4.449999999999999,7.6,4.15,2.2855133840280675,0.0,2.7,4.0,5.3,9.0,1.9909090909090914,1.532787405166558,0.0,0.8500000000000001,1.5499999999999998,2.575,6.0,0.7272727272727272,0.5184058147287592,0.0,0.5,0.6,1.0,1.8,0.38636363636363635,0.34405904053900893,0.0,0.2,0.30000000000000004,0.575,1.3,1.240909090909091,0.7333284139937324,0.0,0.8,1.15,1.5750000000000002,3.4,1.8727272727272726,0.833913218153577,0.0,1.4499999999999997,1.95,2.2,3.6,10.195454545454545,6.027988472255486,0.0,5.9,8.75,14.250000000000002,23.7,27
CHO,4,2,5,2,4,25.764705882352942,4.1311229067395505,20.0,23.0,25.0,28.0,36.0,52.23529411764706,27.003540072934662,1.0,46.0,56.0,75.0,82.0,24.11764705882353,30.335380236905667,0.0,0.0,3.0,47.0,82.0,19.252941176470586,7.953153277714665,8.0,14.5,17.7,25.4,34.9,3.076470588235294,1.9356941299456074,0.5,1.6,2.9,3.7,8.9,7.0588235294117645,4.201794084603834,2.9,4.7,6.3,8.0,20.5,0.4272941176470588,0.10024642431645778,0.14300000000000002,0.387,0.45,0.475,0.5710000000000001,0.8235294117647058,0.8821347769507121,0.0,0.1,0.7,1.5,3.2,2.4705882352941178,2.3392746487646425,0.0,0.7,2.0,4.0,8.9,0.2963333333333333,0.12910387106438567,0.0,0.277,0.34,0.363,0.43700000000000006,2.264705882352941,1.3147914171412267,0.5,1.6,1.9,2.4,5.7,4.594117647058823,2.4777688018243587,2.1,3.0,3.6,4.5,11.6,0.48499999999999993,0.10326725037493736,0.16699999999999998,0.485,0.498,0.5529999999999999,0.6,0.4748823529411765,0.11163214274624332,0.14300000000000002,0.474,0.511,0.547,0.5710000000000001,1.4176470588235293,1.0955793525103776,0.0,0.8,1.2,1.7,4.6,1.8470588235294116,1.3120202204324176,0.0,1.1,1.7,2.3,5.5,0.7611333333333333,0.08984261370917053,0.556,0.736,0.7609999999999999,0.8155000000000001,0.888,0.7588235294117648,0.6874398369397606,0.0,0.2,0.8,1.0,2.2,2.6176470588235294,1.4723430706350535,0.0,1.5,2.6,3.8,4.7,3.38235294117647,2.020283177588493,0.0,1.5,3.8,5.2,6.8,1.8294117647058827,1.3985549264697978,0.3,1.0,1.2,2.2,5.9,0.5352941176470588,0.3534493890053218,0.0,0.3,0.5,0.8,1.2,0.3588235294117647,0.29803276566808007,0.0,0.1,0.3,0.6,0.8,0.9117647058823529,0.6142905999414858,0.0,0.6,0.9,1.2,2.6,1.5529411764705883,0.7281119823375587,0.0,1.0,1.6,1.9,3.3,8.388235294117647,5.56033748446769,2.0,4.7,7.5,9.5,25.6,17
CLE,4,4,7,6,6,26.22222222222222,4.3175254071082945,20.0,23.5,26.0,27.5,37.0,31.296296296296298,24.409668347437844,1.0,12.0,27.0,44.0,82.0,15.185185185185185,21.39201331381022,0.0,0.0,4.0,24.5,75.0,19.40740740740741,8.193802814225185,1.0,14.5,19.3,27.0,32.2,2.807407407407408,1.7538805164824842,0.0,1.65,2.5,4.1,6.5,6.499999999999999,3.883693721584766,0.0,3.9,5.6,8.5,14.7,0.42036,0.07669250289304685,0.222,0.384,0.42700000000000005,0.461,0.5529999999999999,0.8555555555555557,0.6265493616341036,0.0,0.35,0.9,1.25,2.4,2.3999999999999995,1.6813456149534152,0.0,1.4,2.2,3.45,6.7,0.3458260869565217,0.06630826917711562,0.214,0.314,0.35700000000000004,0.38149999999999995,0.46399999999999997,1.9481481481481482,1.4537406313926233,0.0,0.75,1.9,3.05,4.9,4.107407407407407,2.846310152018132,0.0,2.0,3.6,6.15,11.1,0.45311999999999997,0.09739965776805036,0.2,0.41200000000000003,0.461,0.529,0.6,0.48896,0.07349063432392818,0.278,0.479,0.5,0.527,0.625,1.2555555555555555,0.9966610925150702,0.0,0.7,1.1,1.6,4.7,1.5703703703703704,1.152527261421216,0.0,0.9,1.5,2.3,5.2,0.7996249999999999,0.09562236071947408,0.642,0.7132499999999999,0.796,0.8455,1.0,0.7666666666666667,0.8862192817720767,0.0,0.2,0.6,1.0,4.0,2.514814814814815,2.047081168527841,0.0,1.35,1.8,2.85,9.4,3.285185185185185,2.7507626500109303,0.0,1.7000000000000002,2.1,3.95,10.9,1.6222222222222218,1.119180102827111,0.0,0.6499999999999999,1.7,2.5,4.2,0.5666666666666667,0.3658499061721266,0.0,0.3,0.6,0.75,1.5,0.1925925925925926,0.15671121388849157,0.0,0.1,0.1,0.3,0.6,0.9962962962962962,0.5707494947479023,0.0,0.55,1.0,1.4,2.3,1.6555555555555554,0.8135077576734421,0.0,1.2999999999999998,1.8,2.25,2.9,7.714814814814814,4.762247667751316,0.0,4.699999999999999,6.8,10.850000000000001,17.0,28
DAL,3,5,5,3,5,27.19047619047619,5.537319275778197,19.0,23.0,26.0,32.0,40.0,42.38095238095238,24.794104521995123,1.0,25.0,42.0,68.0,81.0,19.523809523809526,20.99433030039074,0.0,1.0,17.0,32.0,72.0,19.57619047619048,9.000939104443756,1.0,12.2,19.8,28.4,32.3,3.1380952380952385,1.8794882788876843,0.0,1.5,3.2,4.2,7.0,7.190476190476191,4.365994132142731,0.0,3.7,6.5,10.1,16.5,0.42444999999999994,0.12197561231656104,0.0,0.40049999999999997,0.42950000000000005,0.46399999999999997,0.644,1.0428571428571431,0.772380365216147,0.0,0.5,1.0,1.3,2.5,3.0238095238095233,2.1945169769005575,0.0,1.6,2.9,3.9,7.4,0.34427777777777785,0.043924809491776844,0.282,0.31125,0.3355,0.36800000000000005,0.455,2.1,1.3744089638822936,0.0,1.0,2.1,3.3,4.7,4.180952380952381,2.56644093008568,0.0,2.2,3.6,6.5,9.3,0.48865,0.1425830413626057,0.0,0.47100000000000003,0.4995,0.567,0.6990000000000001,0.4952000000000001,0.12961830604956193,0.0,0.4695,0.5035000000000001,0.54325,0.644,1.4523809523809526,1.1526573851839268,0.0,0.7,1.2,1.8,4.8,2.0,1.5443445211480502,0.0,1.0,2.0,2.5,6.7,0.7238500000000001,0.0834835470711382,0.5,0.7024999999999999,0.7245,0.7809999999999999,0.8370000000000001,0.7190476190476192,0.7749961597447097,0.0,0.2,0.5,1.0,3.2,2.661904761904762,2.276285612676096,0.0,1.3,2.2,3.1,10.5,3.3571428571428577,2.9724689112876232,0.0,1.5,2.5,4.2,13.7,1.8952380952380952,1.6505987369667374,0.0,1.0,1.3,2.3,6.0,0.5666666666666667,0.33665016461206926,0.0,0.3,0.6,0.7,1.3,0.28571428571428575,0.3365794323569316,0.0,0.0,0.2,0.4,1.1,1.1095238095238096,0.8904519986527977,0.0,0.5,0.8,1.3,3.4,1.5428571428571427,0.7586642396814474,0.0,1.0,1.6,2.0,2.6,8.766666666666667,5.3881660454493545,0.0,4.0,8.2,11.0,21.2,22
DEN,3,5,3,2,5,24.944444444444443,3.9922310174552806,19.0,22.25,23.0,28.0,33.0,48.388888888888886,30.684617508354034,4.0,16.25,60.5,75.0,82.0,22.77777777777778,27.81991575145943,0.0,0.0,11.5,37.75,80.0,17.500000000000007,10.522692565286198,3.1,5.4,19.7,26.325000000000003,32.6,2.944444444444444,2.246624192302288,0.4,0.6499999999999999,3.0,4.3,7.7,6.588888888888888,4.7888214058906335,0.7,1.6249999999999998,6.550000000000001,9.4,15.6,0.43700000000000006,0.08514555012378716,0.261,0.40599999999999997,0.4405,0.49075,0.593,0.8222222222222224,0.6449400843631141,0.0,0.22500000000000003,0.8,1.0750000000000002,2.0,2.433333333333334,1.762351370454024,0.1,0.6,2.55,3.5500000000000003,5.5,0.30533333333333335,0.12498423429988845,0.0,0.286,0.3405,0.373,0.429,2.122222222222222,1.8312822751399715,0.0,0.42500000000000004,2.05,3.1750000000000003,6.7,4.1611111111111105,3.414870402999365,0.3,1.1,4.35,6.0249999999999995,11.7,0.48566666666666664,0.15395644915135617,0.0,0.47600000000000003,0.5255000000000001,0.56675,0.667,0.5036111111111111,0.09423820811794464,0.3,0.47424999999999995,0.514,0.55625,0.654,1.1333333333333333,1.003523205276994,0.0,0.45000000000000007,0.8500000000000001,1.4,3.6,1.5277777777777777,1.27454977312893,0.0,0.625,1.1,2.375,4.4,0.689529411764706,0.14784836727499684,0.33299999999999996,0.6,0.727,0.802,0.848,0.7944444444444445,0.8105714920911354,0.0,0.32499999999999996,0.55,0.9,2.9,2.3499999999999996,2.0802290597855975,0.1,0.47500000000000003,2.05,3.3499999999999996,8.0,3.15,2.817226420769611,0.2,0.7999999999999999,2.65,4.1000000000000005,10.8,1.9611111111111112,1.833716537491354,0.2,0.8250000000000001,1.2999999999999998,2.7249999999999996,7.3,0.55,0.4162154419500159,0.0,0.32499999999999996,0.45,0.875,1.4,0.3055555555555556,0.2959972619551865,0.0,0.025,0.3,0.475,0.9,0.9777777777777779,0.7788041780270688,0.1,0.5,0.6499999999999999,1.475,3.1,1.488888888888889,0.8777570941552505,0.3,0.7,1.4,2.0,3.1,7.861111111111111,5.914005200905717,0.9,1.7750000000000001,7.949999999999999,11.45,20.1,4
DET,2,4,4,3,7,26.45,4.51284715824547,21.0,22.0,26.5,29.0,37.0,44.8,28.004886791603468,1.0,27.5,47.5,69.5,82.0,20.5,29.430560557638756,0.0,0.0,4.5,30.5,82.0,18.285,9.439294966981603,4.0,11.825,19.5,23.925,35.0,2.7150000000000003,2.248806701107805,0.0,1.2000000000000002,1.85,3.8000000000000003,8.3,6.414999999999999,4.5929322132804735,1.0,2.7749999999999995,4.8,8.975,17.9,0.37174999999999997,0.1442234651321928,0.0,0.3745,0.4065,0.42525,0.584,0.9699999999999998,0.9537184843382355,0.0,0.24999999999999997,0.75,1.7,2.9,2.8199999999999994,2.4193518053178495,0.1,1.15,1.65,4.425,7.8,0.27294999999999997,0.153354585674405,0.0,0.21750000000000003,0.2985,0.37,0.5,1.7449999999999999,1.8004312348931708,0.0,0.8250000000000001,1.25,1.75,7.0,3.599999999999999,3.3163073948055692,0.0,1.825,2.7,3.625,12.8,0.45311111111111113,0.13437431866372335,0.0,0.45125000000000004,0.46349999999999997,0.49175,0.637,0.43694999999999995,0.15967317772315587,0.0,0.43525,0.46799999999999997,0.533,0.588,1.24,1.2708886240488748,0.0,0.6,0.9,1.3250000000000002,5.5,1.6,1.7648617062266558,0.0,0.8,1.1,1.6500000000000001,7.3,0.7986666666666667,0.1021354348834112,0.59,0.75425,0.791,0.842,1.0,0.72,1.1687149938467059,0.0,0.2,0.45,0.625,5.4,2.575,2.2847031363073476,0.0,1.4,2.1500000000000004,2.8499999999999996,10.2,3.3,3.3113838735330487,0.0,1.9500000000000002,2.6,3.625,15.6,1.6149999999999998,1.3899166957241114,0.0,0.8,1.3,1.925,5.4,0.55,0.40065735459301594,0.0,0.3,0.5,0.7,1.7,0.28500000000000003,0.4158377720116091,0.0,0.1,0.15000000000000002,0.3,1.7,0.915,0.8028075734570519,0.0,0.37500000000000006,0.8,1.1,3.4,1.6099999999999999,0.8441127387911367,0.0,1.0,1.7,1.9749999999999999,3.4,7.605000000000001,6.160611299128306,0.0,3.425,5.75,10.274999999999999,24.5,16
GSW,5,3,3,3,3,27.41176470588235,4.330975980212367,21.0,24.0,28.0,30.0,35.0,54.588235294117645,25.002646918699956,11.0,30.0,68.0,73.0,80.0,24.11764705882353,29.284984106494697,0.0,3.0,10.0,30.0,78.0,19.211764705882352,9.494925115090508,6.1,12.2,16.7,25.7,34.6,3.423529411764706,2.850993119021139,0.6,1.7,2.2,2.8,9.2,6.970588235294118,5.921018145754405,1.8,3.3,4.3,6.4,19.4,0.4963529411764706,0.07936934324447205,0.34,0.465,0.485,0.516,0.716,0.9823529411764705,1.324875132851039,0.0,0.0,0.7,0.9,5.1,2.564705882352942,3.110253441536274,0.0,0.1,2.1,2.7,11.7,0.29840000000000005,0.15191200460416926,0.0,0.27049999999999996,0.353,0.3995,0.5,2.4352941176470586,1.9300068576531624,0.5,1.3,1.7,2.7,7.5,4.405882352941176,3.4275484293141827,1.2,2.3,3.2,4.2,12.8,0.5451764705882354,0.07903182530958464,0.368,0.515,0.525,0.586,0.716,0.5551764705882354,0.07206527882250026,0.377,0.516,0.556,0.579,0.716,1.2941176470588238,1.5570286559001147,0.0,0.4,0.6,1.0,5.7,1.6352941176470588,1.8037950190052736,0.0,0.6,1.0,1.5,6.5,0.7108823529411766,0.22112662728427268,0.0,0.619,0.769,0.816,1.0,0.8529411764705883,0.530468716159143,0.2,0.5,0.7,1.1,2.4,3.047058823529411,1.9290922888300417,0.5,1.8,2.8,3.9,6.8,3.8764705882352946,2.1167573702968134,0.8,2.1,3.7,5.2,8.2,2.2588235294117647,2.031643061517393,0.1,1.0,1.5,3.2,6.9,0.6176470588235295,0.4290036336058925,0.0,0.3,0.5,0.9,1.4,0.5705882352941175,0.44548387440281295,0.0,0.2,0.6,0.8,1.5,1.1117647058823528,0.9373382213355382,0.3,0.6,0.7,1.5,2.9,1.8588235294117645,0.8008267786555121,0.8,1.2,1.9,2.4,3.6,9.117647058823529,8.230904817676308,1.3,4.2,5.7,7.4,27.3,3
