name,android,androidx,java,javax,kotlin,self
air.com.hypah.io.slither,8712.0,0.0,10677.0,1.0,0.0,17554.0
air.com.pixelfederation.diggy,5348.0,0.0,15493.0,75.0,0.0,20833.0
another.music.player,8599.0,0.0,10673.0,32.0,0.0,10763.0
aplove.pitha_recipe,5174.0,86.0,3782.0,32.0,0.0,1340.0
br.com.app.gpuu1433592.gpuu7d442804e3f91686c53b433a3b63443d,6852.0,0.0,11146.0,30.0,0.0,12952.0
br.com.app.gpuuu1552436.gpuuu5142c9bb55f4cab7c0d5ec1caa19bc91,3193.0,0.0,4806.0,1.0,0.0,4196.0
br.com.eem.cem,4782.0,2447.0,10344.0,26.0,0.0,15559.0
canadakoreanmall.ckmall,964.0,0.0,490.0,0.0,0.0,0.0
com.AtPlayMusic.NoteRacerTrombone,144.0,0.0,3754.0,5.0,0.0,4931.0
com.CL.GuideForCraigslist,2609.0,0.0,2547.0,0.0,0.0,2923.0
com.Christmas.Salon.Dress.Designer,6647.0,86.0,8032.0,37.0,0.0,7196.0
com.Chupa.superwariors,5441.0,0.0,7671.0,2.0,0.0,12802.0
com.Fren2y.FlyBattle,5398.0,15.0,4965.0,14.0,0.0,6159.0
com.Girls.Beauty.Spa.Makeup.Artist,6901.0,15.0,9742.0,37.0,0.0,9329.0
com.HarauStudio.EXOSong,6254.0,0.0,4809.0,15.0,0.0,4875.0
com.MIPL.ShreeAnnapurnaTiffin,2002.0,0.0,733.0,0.0,0.0,0.0
com.NlightenedTouch.ExtremeWBFPro,2295.0,0.0,4389.0,0.0,0.0,6060.0
com.OsamahAsad.TastiestChineseCuisine,4219.0,0.0,7670.0,1.0,0.0,14392.0
com.SilsenseTechnologies.Engram,2067.0,0.0,891.0,7.0,0.0,35.0
com.Tobit.android.Slitte7180107812,9105.0,0.0,19221.0,40.0,0.0,23035.0
com.advaitgps.vts,8625.0,71.0,8233.0,8.0,0.0,8190.0
com.aircrunch.shopalerts,6946.0,25.0,11579.0,39.0,0.0,14380.0
com.alien.music.youme,3210.0,1477.0,7276.0,46.0,0.0,9109.0
com.altatawwar.shaheen,8646.0,0.0,12824.0,32.0,0.0,15406.0
com.app.p8519IG,5321.0,0.0,6125.0,11.0,0.0,9400.0
com.app_lubbockct.layout,5012.0,0.0,11538.0,67.0,0.0,15446.0
com.app_uniquegadgets.layout,5447.0,0.0,12235.0,67.0,0.0,16861.0
com.appbuilder.u1180923p1557621,3404.0,0.0,11036.0,51.0,0.0,10587.0
com.banglaappsmela.bdsarangso,1769.0,0.0,3565.0,7.0,0.0,3563.0
com.baseballguideandtips,7567.0,0.0,6585.0,0.0,0.0,8697.0
com.besthd.shengdan,2632.0,0.0,4837.0,0.0,0.0,8423.0
com.bhss.d4expert,6840.0,0.0,14961.0,61.0,0.0,23001.0
com.bnha.boniface,8025.0,4788.0,28507.0,97.0,8975.0,24631.0
com.buffstudio.sevendays_free,4509.0,1511.0,12979.0,82.0,0.0,16417.0
com.businessoft.taxidriver,4468.0,0.0,7940.0,35.0,0.0,10691.0
com.cake.expert.developer,1200.0,0.0,1368.0,0.0,0.0,1900.0
com.candy.kathah,7975.0,0.0,11101.0,43.0,0.0,11064.0
com.celiniumapps.gotseven,4343.0,0.0,3238.0,1.0,0.0,3276.0
com.chisanu.waifuhologram,3121.0,0.0,3082.0,1.0,0.0,3346.0
com.cnn.mobile.android.tv,3285.0,2515.0,15188.0,63.0,50.0,19527.0
com.colossalfactory.quicktext,7255.0,0.0,9800.0,39.0,0.0,14094.0
com.cyberbots.roulette,7.0,0.0,220.0,8.0,0.0,55.0
com.deepforestmedia.sdktest.inandroidtest.today,672.0,0.0,450.0,0.0,0.0,49.0
com.devsisters.gb,4814.0,2421.0,12533.0,82.0,0.0,14409.0
com.digisol.dlive,3316.0,3258.0,5567.0,3.0,0.0,3130.0
com.disney.starwarshub_goo,5228.0,3815.0,11923.0,420.0,439.0,12442.0
com.egaming.pharaohriches,4069.0,0.0,5038.0,19.0,0.0,5745.0
com.facebook.katana,1286.0,17.0,5215.0,15.0,0.0,4876.0
com.facebook.orca,891.0,11.0,4512.0,15.0,0.0,4188.0
com.framingitup.app,5525.0,0.0,3836.0,1.0,0.0,4535.0
com.froogloid.kring.google.zxing.client.android,5052.0,3476.0,13030.0,426.0,0.0,15639.0
com.fs.sha29,6020.0,0.0,9480.0,7.0,0.0,12734.0
com.fungames.flightpilot,5489.0,3069.0,13690.0,41.0,943.0,17986.0
com.gameloft.android.ANMP.GloftA8HM,5604.0,2446.0,17953.0,57.0,5309.0,13446.0
com.gasterus.polsampaifinish,8035.0,64.0,11012.0,86.0,0.0,9567.0
com.geishatokyo.snowballio,3819.0,1967.0,10828.0,21.0,0.0,11896.0
com.go.RingStone.c1,4688.0,0.0,7378.0,4.0,0.0,13602.0
com.google.android.apps.tasks,3583.0,11.0,9324.0,17.0,0.0,16298.0
com.gretech.gomplayerko,6098.0,7303.0,12193.0,64.0,0.0,8522.0
com.han.dominoes,3770.0,1470.0,8792.0,33.0,0.0,14875.0
com.hulu.plus,5094.0,3118.0,17355.0,38.0,6716.0,17833.0
com.huobi.cn,7571.0,0.0,17970.0,113.0,0.0,14224.0
com.iedutainments.free.no,6183.0,0.0,5897.0,32.0,0.0,3437.0
com.illuminationgames.aa3,3118.0,0.0,3840.0,8.0,0.0,3259.0
com.imaginstudio.imagetools.pixellab,6277.0,71.0,9864.0,13.0,0.0,16595.0
com.inos.quiz.futbol,5492.0,0.0,5754.0,0.0,0.0,8814.0
com.istoetaxi.motorista,7371.0,0.0,11909.0,63.0,0.0,14213.0
com.jogemapps.ceramahustadzmaulanamp3offline,5560.0,0.0,5312.0,11.0,0.0,4786.0
com.joy.note1,3836.0,0.0,6982.0,0.0,5990.0,40.0
com.kabouzeid.gramophone,4998.0,3868.0,10659.0,27.0,1.0,8721.0
com.kisah4khalifahrasyidin.agastudio,2365.0,0.0,2611.0,1.0,0.0,3249.0
com.kitkatandroid.keyboard,9495.0,25.0,13533.0,55.0,0.0,15955.0
com.kollywoodapps.luckystonefinder_tamil,10301.0,0.0,15846.0,27.0,0.0,25654.0
com.korean.hangugmal.hangugeo.chosonmal.keyboard.hebrewkeyboard.type.free.infra,4648.0,3390.0,7785.0,31.0,0.0,9133.0
com.ladybugg.kitsh,5805.0,0.0,10079.0,15.0,0.0,16718.0
com.luc.tetvn,7683.0,0.0,9080.0,2.0,0.0,15361.0
com.madhumadhiapps.loveimageshd4koffline,4483.0,0.0,4348.0,4.0,0.0,5289.0
com.maksimedia.diljit.dosanjh,6346.0,0.0,6700.0,9.0,0.0,6264.0
com.melink.android,17714.0,3678.0,90211.0,525.0,0.0,106636.0
com.merakiapp.zifmzimbabwefreestreamingmusicradiostation,9263.0,71.0,13646.0,54.0,801.0,14133.0
com.microsoft.todos,4581.0,2131.0,14808.0,133.0,0.0,26843.0
com.miniclip.plagueinc,5374.0,2727.0,10912.0,32.0,0.0,16332.0
com.mochibits.hexario.google,7558.0,0.0,8271.0,9.0,0.0,10460.0
com.msi.logogame,4862.0,1686.0,14074.0,43.0,0.0,19188.0
com.musicshopstudios.narutoshippuuden.music.shop,8434.0,0.0,11886.0,43.0,0.0,11612.0
com.mutationsonline,6336.0,0.0,8834.0,4.0,0.0,13029.0
com.mydtc,2801.0,0.0,7090.0,11.0,0.0,10471.0
com.mysteryshopping.mysteryshoppingsolutions,3752.0,0.0,3763.0,0.0,0.0,2466.0
com.naver.linewebtoon,5442.0,4668.0,13930.0,6.0,516.0,18279.0
com.neilredfern.pubgolfscorecardv2,2103.0,0.0,3716.0,0.0,0.0,5533.0
com.newappmatrix.mathematicsgame,5730.0,0.0,5688.0,30.0,0.0,5639.0
com.nimblebit.bitcity,3839.0,0.0,3607.0,10.0,0.0,6214.0
com.optimumdroid.howmanybaby.willihave.prank,5339.0,0.0,4414.0,5.0,0.0,4958.0
com.oristats.habitbull,7870.0,0.0,12947.0,51.0,0.0,23151.0
com.peacockcrackers.app,8436.0,0.0,13266.0,89.0,0.0,16850.0
com.pink.neon.rose.theme,2383.0,0.0,4079.0,12.0,0.0,4138.0
com.pointsoft.dm,1970.0,561.0,4046.0,18.0,0.0,3234.0
com.quantum.whatsappstatus,11554.0,0.0,22620.0,85.0,0.0,25379.0
com.radioworld.chanquetefmapp,9438.0,0.0,15494.0,69.0,0.0,15748.0
com.rc.earthonline.livestreetview.liveworldwebcams,9156.0,79.0,18141.0,37.0,6026.0,17344.0
com.relaxmeditation.sangdroid,1713.0,0.0,2360.0,5.0,0.0,3309.0
com.roboxy.muruganclocklivewallpaper,3090.0,0.0,3193.0,34.0,0.0,3043.0
com.romale.vr.mountainshills.pack,780.0,0.0,1375.0,13.0,0.0,2857.0
com.sega.comixzone,5604.0,1552.0,11345.0,33.0,0.0,14927.0
com.sega.kidcham,7429.0,0.0,11706.0,40.0,0.0,14079.0
com.shedunoo.booster.cleaner,3182.0,0.0,2668.0,0.0,0.0,3262.0
com.simplehabit.simplehabitapp,5623.0,3461.0,13989.0,130.0,1708.0,17205.0
com.solosalon.servicer,12479.0,0.0,22212.0,70.0,0.0,36227.0
com.srkphotography.smsjokesstatusfactory,7789.0,0.0,11251.0,73.0,0.0,12987.0
com.statussaver.videos.download.savestory.saveallstatus,6464.0,16.0,9906.0,38.0,0.0,13675.0
com.tabkeey.taapseewallpaper,6637.0,0.0,8024.0,5.0,0.0,10384.0
com.thebestonepp.watchmoviesonline,7139.0,0.0,8951.0,10.0,0.0,14937.0
