,phrase,score
0,state space,0.9074071482325
1,initial state,0.8769366765432
2,policy gradient,0.8255938672602
3,lower bounds,0.82074815387775
4,upper bounds,0.76076669703925
5,upper bound,0.74396634296985
6,holds true,0.74089191504825
7,lower bound,0.7408830454307499
8,policy optimization,0.7394760043225
9,crossing times,0.588506739972
10,entropy regularization,0.519888753156
11,arxiv preprint arxiv,0.51794297474025
12,hypothesis,0.513783837320538
13,optimal,0.49846773320264565
14,long,0.4972952212036132
15,entropy,0.48986788159904543
16,gradient,0.48809823155330356
17,probability,0.4820167474081228
18,information,0.4800266487374952
19,regularization,0.47786614775270503
20,upper,0.4771050755376015
21,min,0.4754600287516368
22,al,0.4750743593997548
23,linear,0.4747110600754211
24,monotonicity,0.47035011753234907
25,a1 a2,0.46593871798955006
26,exponential,0.4649102149800338
27,induction,0.4591454023732918
28,s1 and s2,0.4586306944359001
29,cb,0.45490133379791764
30,dynamics,0.45046908784375794
31,rs,0.4499752545911724
32,learning,0.4467296081573852
33,initial,0.44576764972956295
34,lower,0.442133539843371
35,buffer,0.4420937531723998
36,order,0.44050870744669296
37,basic,0.4376935238928944
38,optimization,0.43433615724197167
39,crossing,0.42980209911293843
40,definition,0.429318958334893
41,max,0.4275220686733943
42,parameterization,0.42487286708375444
43,cp,0.42194829004776085
44,control,0.421392895722813
45,true,0.420607985298269
46,log,0.4204985592932394
47,xt,0.4195308931104224
48,primary,0.41620930007537926
49,auxiliary,0.4157472322439181
50,global,0.41566931215809744
51,ii,0.41562685345747885
52,iteration,0.41539759222197703
53,c0,0.4144070453368915
54,function,0.41361843644308477
55,sk,0.41298767478594756
56,cm,0.41289662605263244
57,state,0.41161952859667605
58,end,0.4112023157550771
59,large,0.4097220025284389
60,adjoint,0.40765132155380424
61,property,0.40739714844212166
62,discounted,0.4067081271358333
63,facts,0.40383349990690187
64,cx,0.40273932334332363
65,convergence,0.40202430548812895
66,recursive,0.40172237282682766
67,effective,0.4006821093577257
68,ts,0.4004350179794171
69,initialization,0.39932710736962496
70,natural,0.39909414491128353
71,key,0.39866917500541527
72,action,0.398061540440729
73,stage,0.39792360315946956
74,section,0.3971818959921539
75,exp,0.395288488447543
76,space,0.3947489164911227
77,rule,0.3946847704918558
78,methods,0.39419376899462627
79,neural,0.3936561007801116
80,gradients,0.39353916078991213
81,policy,0.3928598986232437
82,horizon,0.3928353738506648
83,bounds,0.3921608941808516
84,invoking,0.39018978667591003
85,value function,0.39015916193075
86,analysis,0.38856914988276403
87,note,0.3882237719855726
88,subsets,0.3871721619081256
89,complexity,0.3860726321057169
90,pg,0.3849949755054576
91,mdp,0.3843471815322559
92,line,0.3833984228845989
93,observation,0.38263872014424627
94,decreasing,0.3820063633861513
95,theorem,0.381741390988362
96,actions,0.38085134169685925
97,distribution,0.37941530081610125
98,appendix,0.3790242795890833
99,bound,0.3789413700762646
100,inequality,0.37854804760901817
101,taking,0.37832428264126405
102,t2,0.37565645344952026
103,converge,0.37511516069570433
104,assumption,0.37502319781275545
105,construction,0.37457566097326234
106,t1,0.37371091073076784
107,consequence,0.37325721376502025
108,identity,0.37181213123761114
109,equation,0.37054828855056837
110,a1,0.37051257149771605
111,suppose,0.37035302093951944
112,times,0.36925336902387906
113,iterations,0.3687600052720169
114,algorithms,0.3681895703138094
115,algorithm,0.36752358755427883
116,relation,0.3664285436288133
117,zt,0.3663235281715648
118,lemma,0.3636752206223776
119,a2,0.360970261066849
120,case,0.36092083664148716
121,,0.36088760585745
122,states,0.36005335540882427
123,iii,0.3597102020921105
124,update,0.3594080522697521
125,recall,0.35926522850213527
126,result,0.3582051225747337
127,provided,0.3574190479355935
128,inequalities,0.35732066721465056
129,parameters,0.3561658485553069
130,notation,0.35477709249824724
131,s2,0.35376503380539825
132,increasing,0.35290963438537865
133,means,0.3509424957481247
134,s1,0.3502837865434415
135,putting,0.3501510259658429
136,step,0.3487344381451639
137,x0,0.3472273233288967
138,pages,0.34715791394037177
139,bounding,0.3468617914729964
140,combining,0.34642570789399424
141,results,0.34531877915496795
142,instance,0.3449355598018615
143,remark,0.34376398532952085
144,properties,0.3436043765360119
145,makes,0.34323006809735185
146,c2,0.3431016274276205
147,t0,0.3398131109630751
148,holds,0.33974127396799325
149,c1,0.33904341097094925
150,a0,0.33843002325584465
151,view,0.33653455542695226
152,duration,0.33647136012446904
153,zhang,0.33513273656284076
154,mdps,0.3340910048810849
155,proof,0.3334064629002926
156,t3,0.3325227674681196
157,2s,0.3318518499254899
158,iterate,0.3318294177097116
159,satisfied,0.33154368528749756
160,fact,0.32842470254517603
161,quantities,0.3283768748104517
162,quantity,0.32794172969638685
163,npg,0.32718342168399966
164,establish,0.32545375982496516
165,argument,0.32383674341175644
166,expression,0.3238068052196827
167,valid,0.3236086930510464
168,hold,0.3220644836534627
169,defined,0.3217624182387398
170,preceding,0.32005754113316626
171,turn,0.3195017270598257
172,claim,0.31945350710131404
173,reach,0.31900607165786493
174,s0,0.3173398858031685
175,agarwal,0.31685863994258606
176,implies,0.3151633121046
177,mei,0.3144946751777801
178,clear,0.31054008328456423
179,remains,0.3089715556691405
180,relies,0.2994341346743414
181,invoke,0.2981457804873234
182,claimed,0.29633313711342507
183,establishes,0.2952772613945891
184,demonstrate,0.2947355408184804
185,yt,0.29399660493475627
186,derive,0.28454117140234775
187,obeying,0.2843148161462085
188,arrive at,0.28213873214560004
189,yields,0.281679009843514
190,justify,0.2801107463122267
191,resp,0.2742896397613093
192,in addition,0.27027979578984995
193,makes use of,0.26550310139835
194,combined with,0.2630729823843
195,et al,0.2628483165234
196,leads to,0.25577423283105
197,5 6,0.25556775249495
198,+ 1,0.23931646237905
199,= 0,0.23145374620355
200,or equivalently,0.23100627471075
201,comes from,0.22118893514154997
202,follows from,0.22075823806785
203,= exp,0.21880299308520001
204,= 1,0.21579780302079996
205,| s |,0.20554636723880002
206,th,0.20108394071101282
207,together with,0.20106914693300001
208,dynamics of,0.19554978217949998
209,as well,0.19495270083784996
210,according to,0.19321685256575
211,value,0.19299716855619048
212,x,0.19045817294630915
213,z,0.18896786981130032
214,following,0.1884310253227418
215,more,0.18837545320390855
216,o,0.18813995710305673
217,r,0.18780011489671772
218,non,0.18713802246963607
219,during,0.18680025844454493
220,e,0.18669374438998662
221,time,0.18661345761231515
222,help,0.18423553569556558
223,due,0.1827355032936682
224,g,0.1825671497275848
225,softmax,0.18201096544140616
226,so,0.18200816876076736
227,exponential time,0.1818835334226
228,let,0.18178242651605112
229,together,0.18098209303718663
230,f,0.18045812808172598
231,proof of,0.1798184065431
232,part,0.17926610352353936
233,two,0.17896132008592963
234,comes,0.17816223094107977
235,i,0.1780096449165735
236,also,0.17751838082328097
237,m,0.1767938899359486
238,j,0.17677327977590157
239,first,0.17677293799094515
240,b,0.175471979801602
241,these,0.17526900327249945
242,holds for,0.17479014281935
