trail,classifier,parameter,train_acc,test_acc,train_f1,test_f1
0,KNN,2,0.5893740701013805,0.1747743317761933,0.5424013672477519,0.12263677617378237
0,KNN,7,0.44192242482959065,0.2767026096730006,0.29360537357076477,0.13470870096889864
0,KNN,12,0.4076502543164596,0.3122475501387377,0.21440839537924647,0.1291148470726453
0,KNN,17,0.39417321199958477,0.3271047732780724,0.17804113691638357,0.11923620570213193
0,KNN,22,0.3884467665478703,0.3389413789469987,0.15731938071539456,0.11349618225925284
0,KNN,27,0.38360264350714507,0.34817884865301535,0.1426681473454479,0.11074077081662301
0,KNN,32,0.3803501608940867,0.3534824909557093,0.13031708094893418,0.10642421821869512
0,KNN,37,0.37924293277049237,0.3563274911313266,0.12343231283347329,0.10282886283367203
0,KNN,42,0.37758209058510084,0.3604369358294405,0.11645190593419459,0.10289951692105914
0,KNN,47,0.3776512923428255,0.36131502230339646,0.11311601049008499,0.0997393536004553
0,Decision Tree,5,0.3712328293138646,0.36517860278880265,0.3712328293138646,0.3651786027888026
0,Decision Tree,15,0.5402581225563129,0.3094025499631204,0.5402581225563129,0.3094025499631204
0,Decision Tree,25,0.7861838690702744,0.23999859506164167,0.7861838690702744,0.2399985950616417
0,Decision Tree,35,0.870956022282966,0.21267254399213234,0.870956022282966,0.2126725439921323
0,Decision Tree,45,0.879744645513996,0.20989779073443152,0.879744645513996,0.20989779073443152
0,Decision Tree,55,0.8798138472717207,0.2103192722419304,0.8798138472717207,0.2103192722419304
0,Decision Tree,65,0.8798138472717207,0.20919532155526677,0.8798138472717207,0.20919532155526674
0,Decision Tree,75,0.8798138472717207,0.21074075374942924,0.8798138472717207,0.21074075374942924
0,Decision Tree,85,0.8798138472717207,0.20817674124547786,0.8798138472717207,0.20817674124547786
0,Decision Tree,95,0.8798138472717207,0.20884408696568438,0.8798138472717207,0.20884408696568438
0,Random Forest,5,0.3661638005605342,0.3613501457623547,0.05543102099088769,0.05415990749756614
0,Random Forest,15,0.546486280751531,0.36317656562818307,0.39265872845021127,0.09445274295185012
0,Random Forest,25,0.8678073423064946,0.32043131607600717,0.8570418912958736,0.11820260224810682
0,Random Forest,35,0.8797965468322896,0.31031575989603455,0.869128587533219,0.12403398981916118
0,Random Forest,45,0.8798138472717207,0.3078219943099996,0.8686177767565526,0.12433933498093226
0,Random Forest,55,0.8798138472717207,0.3076815004741667,0.8684505187586602,0.12491949960506807
0,Random Forest,65,0.8798138472717207,0.3070492782129184,0.868724003482775,0.12459245209468046
0,Random Forest,75,0.8798138472717207,0.3070844016718767,0.8688092867341746,0.12431917071147595
0,Random Forest,85,0.8798138472717207,0.30715464858979313,0.8687618881321694,0.12446314803332996
0,Random Forest,95,0.8798138472717207,0.3089459449966633,0.8685977409609522,0.12584973461429286
0,Neural network,300,0.40910349122867723,0.3465631695409364,0.40910349122867723,0.3465631695409364
0,Neural network,400,0.4105394277014636,0.3356397738049243,0.4105394277014636,0.3356397738049243
0,Neural network,500,0.4076675547558908,0.3435425520705279,0.4076675547558908,0.3435425520705279
0,Neural network,600,0.4082038683782568,0.34761687330968355,0.4082038683782568,0.34761687330968355
0,Neural network,700,0.408653679803467,0.3415053914509501,0.408653679803467,0.3415053914509501
0,SGD,300,0.2789868862669112,0.27592989357591935,0.2789868862669112,0.27592989357591935
0,SGD,400,0.30090654302619285,0.29872501843981597,0.30090654302619285,0.29872501843981597
0,SGD,500,0.2957164111968444,0.287380141196305,0.2957164111968444,0.287380141196305
0,SGD,600,0.25961039410401027,0.24884970671911769,0.25961039410401027,0.24884970671911769
0,SGD,700,0.25019895505345835,0.25194057110744267,0.25019895505345835,0.25194057110744267
0,SGD,800,0.2298882391612747,0.22777563134417478,0.2298882391612747,0.22777563134417478
0,SGD,900,0.29158160617279677,0.2882231042113027,0.29158160617279677,0.2882231042113027
0,SGD,1000,0.2658558527386596,0.2662006954444874,0.2658558527386596,0.2662006954444874
0,logistic,0.001,0.3680149475796685,0.3627550841206842,0.36801494757966857,0.36275508412068425
0,logistic,0.01,0.3718037438150929,0.3679533560465035,0.3718037438150929,0.3679533560465035
0,logistic,0.1,0.3727552679838068,0.3695339116996242,0.3727552679838068,0.36953391169962424
0,logistic,1,0.37268606622608214,0.3692529240279583,0.37268606622608214,0.3692529240279583
0,logistic,10,0.3722708556797343,0.36848020793087705,0.3722708556797343,0.368480207930877
0,logistic,100,0.37232275699802775,0.36876119560254295,0.3723227569980278,0.36876119560254295
0,logistic,1000,0.37303207501470537,0.36932317094587475,0.37303207501470537,0.36932317094587475
