close,date,minute
8391.1,2017-01-02,09:15:00
8391.15,2017-01-02,09:16:00
8373.6,2017-01-02,09:17:00
8376.75,2017-01-02,09:18:00
8373.7,2017-01-02,09:19:00
8365.6,2017-01-02,09:20:00
8371.2,2017-01-02,09:21:00
8368.1,2017-01-02,09:22:00
8368.85,2017-01-02,09:23:00
8369.85,2017-01-02,09:24:00
8371.0,2017-01-02,09:25:00
8369.55,2017-01-02,09:26:00
8363.6,2017-01-02,09:27:00
8358.5,2017-01-02,09:28:00
8351.5,2017-01-02,09:29:00
8345.35,2017-01-02,09:30:00
8342.7,2017-01-02,09:31:00
8348.35,2017-01-02,09:32:00
8352.5,2017-01-02,09:33:00
8362.7,2017-01-02,09:34:00
8358.45,2017-01-02,09:35:00
8360.65,2017-01-02,09:36:00
8366.05,2017-01-02,09:37:00
8366.65,2017-01-02,09:38:00
8367.7,2017-01-02,09:39:00
8361.4,2017-01-02,09:40:00
8365.4,2017-01-02,09:41:00
8366.9,2017-01-02,09:42:00
8368.2,2017-01-02,09:43:00
8367.4,2017-01-02,09:44:00
8362.65,2017-01-02,09:45:00
8358.0,2017-01-02,09:46:00
8360.55,2017-01-02,09:47:00
8361.45,2017-01-02,09:48:00
8359.55,2017-01-02,09:49:00
8358.4,2017-01-02,09:50:00
8357.25,2017-01-02,09:51:00
8358.0,2017-01-02,09:52:00
8360.2,2017-01-02,09:53:00
8360.75,2017-01-02,09:54:00
8363.2,2017-01-02,09:55:00
8365.3,2017-01-02,09:56:00
8365.9,2017-01-02,09:57:00
8364.6,2017-01-02,09:58:00
8361.1,2017-01-02,09:59:00
8361.8,2017-01-02,10:00:00
8363.0,2017-01-02,10:01:00
8363.7,2017-01-02,10:02:00
8364.15,2017-01-02,10:03:00
8362.9,2017-01-02,10:04:00
8363.85,2017-01-02,10:05:00
8361.05,2017-01-02,10:06:00
8361.25,2017-01-02,10:07:00
8361.75,2017-01-02,10:08:00
8360.65,2017-01-02,10:09:00
8358.25,2017-01-02,10:10:00
8357.2,2017-01-02,10:11:00
8357.05,2017-01-02,10:12:00
8358.05,2017-01-02,10:13:00
8358.15,2017-01-02,10:14:00
8385.1,2017-01-03,09:15:00
8382.75,2017-01-03,09:16:00
8380.3,2017-01-03,09:17:00
8380.65,2017-01-03,09:18:00
8377.2,2017-01-03,09:19:00
8371.3,2017-01-03,09:20:00
8377.5,2017-01-03,09:21:00
8379.45,2017-01-03,09:22:00
8379.95,2017-01-03,09:23:00
8372.95,2017-01-03,09:24:00
8371.25,2017-01-03,09:25:00
8370.5,2017-01-03,09:26:00
8375.45,2017-01-03,09:27:00
8378.4,2017-01-03,09:28:00
8378.05,2017-01-03,09:29:00
8374.75,2017-01-03,09:30:00
8372.6,2017-01-03,09:31:00
8374.15,2017-01-03,09:32:00
8374.8,2017-01-03,09:33:00
8367.15,2017-01-03,09:34:00
8367.55,2017-01-03,09:35:00
8368.5,2017-01-03,09:36:00
8367.65,2017-01-03,09:37:00
8371.7,2017-01-03,09:38:00
8372.85,2017-01-03,09:39:00
8371.8,2017-01-03,09:40:00
8374.55,2017-01-03,09:41:00
8377.9,2017-01-03,09:42:00
8373.25,2017-01-03,09:43:00
8374.4,2017-01-03,09:44:00
8369.5,2017-01-03,09:45:00
8371.75,2017-01-03,09:46:00
8372.6,2017-01-03,09:47:00
8373.0,2017-01-03,09:48:00
