,month,perc_dif,ticker
0,2020-08-26,3,A
1,2020-09-25,3,A
2,2020-10-26,4,A
3,2020-11-25,4,A
4,2020-12-28,4,A
0,2020-08-26,4,AAL
1,2020-09-25,2,AAL
2,2020-10-26,2,AAL
3,2020-11-25,5,AAL
4,2020-12-28,4,AAL
0,2020-08-26,4,AAP
1,2020-09-25,2,AAP
2,2020-10-26,3,AAP
3,2020-11-25,3,AAP
4,2020-12-28,4,AAP
0,2020-08-26,5,AAPL
1,2020-09-25,2,AAPL
2,2020-10-26,4,AAPL
3,2020-11-25,3,AAPL
4,2020-12-28,4,AAPL
0,2020-08-26,3,ABBV
1,2020-09-25,2,ABBV
2,2020-10-26,3,ABBV
3,2020-11-25,5,ABBV
4,2020-12-28,3,ABBV
0,2020-08-26,2,ABC
1,2020-09-25,3,ABC
2,2020-10-26,3,ABC
3,2020-11-25,4,ABC
4,2020-12-28,2,ABC
0,2020-08-26,3,ABMD
1,2020-09-25,2,ABMD
2,2020-10-26,4,ABMD
3,2020-11-25,2,ABMD
4,2020-12-28,5,ABMD
0,2020-08-26,4,ABT
1,2020-09-25,3,ABT
2,2020-10-26,4,ABT
3,2020-11-25,3,ABT
4,2020-12-28,3,ABT
0,2020-08-26,4,ACN
1,2020-09-25,2,ACN
2,2020-10-26,4,ACN
3,2020-11-25,4,ACN
4,2020-12-28,4,ACN
0,2020-08-26,5,ADBE
1,2020-09-25,2,ADBE
2,2020-10-26,3,ADBE
3,2020-11-25,3,ADBE
4,2020-12-28,4,ADBE
0,2020-08-26,4,ADI
1,2020-09-25,2,ADI
2,2020-10-26,4,ADI
3,2020-11-25,4,ADI
4,2020-12-28,4,ADI
0,2020-08-26,4,ADM
1,2020-09-25,4,ADM
2,2020-10-26,4,ADM
3,2020-11-25,3,ADM
4,2020-12-28,3,ADM
0,2020-08-26,2,ADP
1,2020-09-25,3,ADP
2,2020-10-26,4,ADP
3,2020-11-25,4,ADP
4,2020-12-28,3,ADP
0,2020-08-26,4,ADSK
1,2020-09-25,2,ADSK
2,2020-10-26,4,ADSK
3,2020-11-25,4,ADSK
4,2020-12-28,4,ADSK
0,2020-08-26,3,AEE
1,2020-09-25,3,AEE
2,2020-10-26,4,AEE
3,2020-11-25,2,AEE
4,2020-12-28,3,AEE
0,2020-08-26,2,AEP
1,2020-09-25,3,AEP
2,2020-10-26,4,AEP
3,2020-11-25,2,AEP
4,2020-12-28,3,AEP
0,2020-08-26,4,AES
1,2020-09-25,3,AES
2,2020-10-26,4,AES
3,2020-11-25,3,AES
4,2020-12-28,4,AES
0,2020-08-26,3,AFL
1,2020-09-25,3,AFL
2,2020-10-26,3,AFL
3,2020-11-25,5,AFL
4,2020-12-28,3,AFL
0,2020-08-26,2,AIG
1,2020-09-25,2,AIG
2,2020-10-26,4,AIG
3,2020-11-25,5,AIG
4,2020-12-28,2,AIG
0,2020-08-26,4,AIZ
1,2020-09-25,3,AIZ
2,2020-10-26,3,AIZ
3,2020-11-25,4,AIZ
4,2020-12-28,3,AIZ
0,2020-08-26,3,AJG
1,2020-09-25,3,AJG
2,2020-10-26,3,AJG
3,2020-11-25,4,AJG
4,2020-12-28,4,AJG
0,2020-08-26,3,AKAM
1,2020-09-25,3,AKAM
2,2020-10-26,2,AKAM
3,2020-11-25,3,AKAM
4,2020-12-28,3,AKAM
0,2020-08-26,4,ALB
1,2020-09-25,2,ALB
2,2020-10-26,4,ALB
3,2020-11-25,5,ALB
4,2020-12-28,4,ALB
0,2020-08-26,3,ALGN
1,2020-09-25,4,ALGN
2,2020-10-26,5,ALGN
3,2020-11-25,4,ALGN
4,2020-12-28,4,ALGN
0,2020-08-26,4,ALK
1,2020-09-25,3,ALK
2,2020-10-26,3,ALK
3,2020-11-25,5,ALK
4,2020-12-28,3,ALK
0,2020-08-26,3,ALL
1,2020-09-25,3,ALL
2,2020-10-26,3,ALL
3,2020-11-25,4,ALL
4,2020-12-28,4,ALL
0,2020-08-26,3,ALLE
1,2020-09-25,2,ALLE
2,2020-10-26,3,ALLE
3,2020-11-25,4,ALLE
4,2020-12-28,3,ALLE
0,2020-08-26,3,ALXN
1,2020-09-25,4,ALXN
2,2020-10-26,4,ALXN
3,2020-11-25,3,ALXN
4,2020-12-28,5,ALXN
0,2020-08-26,3,AMAT
1,2020-09-25,2,AMAT
2,2020-10-26,3,AMAT
3,2020-11-25,5,AMAT
4,2020-12-28,4,AMAT
0,2020-08-26,3,AMCR
1,2020-09-25,3,AMCR
2,2020-10-26,3,AMCR
3,2020-11-25,4,AMCR
4,2020-12-28,3,AMCR
0,2020-08-26,5,AMD
1,2020-09-25,2,AMD
2,2020-10-26,3,AMD
3,2020-11-25,4,AMD
4,2020-12-28,4,AMD
0,2020-08-26,4,AME
1,2020-09-25,2,AME
2,2020-10-26,4,AME
3,2020-11-25,4,AME
4,2020-12-28,3,AME
0,2020-08-26,3,AMGN
1,2020-09-25,3,AMGN
2,2020-10-26,2,AMGN
3,2020-11-25,3,AMGN
4,2020-12-28,4,AMGN
0,2020-08-26,3,AMP
1,2020-09-25,2,AMP
2,2020-10-26,4,AMP
3,2020-11-25,4,AMP
4,2020-12-28,3,AMP
0,2020-08-26,2,AMT
1,2020-09-25,3,AMT
2,2020-10-26,3,AMT
3,2020-11-25,3,AMT
4,2020-12-28,2,AMT
0,2020-08-26,4,AMZN
1,2020-09-25,2,AMZN
2,2020-10-26,4,AMZN
3,2020-11-25,3,AMZN
4,2020-12-28,3,AMZN
0,2020-08-26,2,ANET
1,2020-09-25,2,ANET
2,2020-10-26,4,ANET
3,2020-11-25,5,ANET
4,2020-12-28,4,ANET
0,2020-08-26,4,ANSS
1,2020-09-25,2,ANSS
2,2020-10-26,4,ANSS
3,2020-11-25,3,ANSS
4,2020-12-28,4,ANSS
0,2020-08-26,3,ANTM
1,2020-09-25,2,ANTM
2,2020-10-26,4,ANTM
3,2020-11-25,4,ANTM
4,2020-12-28,4,ANTM
0,2020-08-26,2,AON
1,2020-09-25,3,AON
2,2020-10-26,3,AON
3,2020-11-25,4,AON
4,2020-12-28,3,AON
0,2020-08-26,2,AOS
1,2020-09-25,4,AOS
2,2020-10-26,3,AOS
3,2020-11-25,4,AOS
4,2020-12-28,3,AOS
0,2020-08-26,3,APA
1,2020-09-25,1,APA
2,2020-10-26,2,APA
3,2020-11-25,5,APA
4,2020-12-28,3,APA
0,2020-08-26,3,APD
1,2020-09-25,3,APD
2,2020-10-26,3,APD
3,2020-11-25,3,APD
4,2020-12-28,3,APD
0,2020-08-26,3,APH
1,2020-09-25,3,APH
2,2020-10-26,4,APH
3,2020-11-25,4,APH
4,2020-12-28,3,APH
0,2020-08-26,3,APTV
1,2020-09-25,3,APTV
2,2020-10-26,4,APTV
3,2020-11-25,5,APTV
4,2020-12-28,4,APTV
0,2020-08-26,3,ARE
1,2020-09-25,2,ARE
2,2020-10-26,3,ARE
3,2020-11-25,4,ARE
4,2020-12-28,4,ARE
0,2020-08-26,3,ATO
1,2020-09-25,2,ATO
2,2020-10-26,3,ATO
3,2020-11-25,3,ATO
4,2020-12-28,2,ATO
0,2020-08-26,4,ATVI
1,2020-09-25,2,ATVI
2,2020-10-26,3,ATVI
3,2020-11-25,2,ATVI
4,2020-12-28,5,ATVI
0,2020-08-26,4,AVB
1,2020-09-25,2,AVB
2,2020-10-26,2,AVB
3,2020-11-25,4,AVB
4,2020-12-28,2,AVB
0,2020-08-26,4,AVGO
1,2020-09-25,4,AVGO
2,2020-10-26,3,AVGO
3,2020-11-25,4,AVGO
4,2020-12-28,4,AVGO
0,2020-08-26,3,AVY
1,2020-09-25,4,AVY
2,2020-10-26,4,AVY
3,2020-11-25,4,AVY
4,2020-12-28,3,AVY
0,2020-08-26,3,AWK
1,2020-09-25,3,AWK
2,2020-10-26,4,AWK
3,2020-11-25,3,AWK
4,2020-12-28,3,AWK
0,2020-08-26,3,AXP
1,2020-09-25,3,AXP
2,2020-10-26,3,AXP
3,2020-11-25,5,AXP
4,2020-12-28,3,AXP
0,2020-08-26,3,AZO
1,2020-09-25,2,AZO
2,2020-10-26,3,AZO
3,2020-11-25,3,AZO
4,2020-12-28,4,AZO
0,2020-08-26,3,BA
1,2020-09-25,2,BA
2,2020-10-26,3,BA
3,2020-11-25,5,BA
4,2020-12-28,3,BA
0,2020-08-26,4,BAC
1,2020-09-25,2,BAC
2,2020-10-26,3,BAC
3,2020-11-25,4,BAC
4,2020-12-28,4,BAC
0,2020-08-26,2,BAX
1,2020-09-25,2,BAX
2,2020-10-26,3,BAX
3,2020-11-25,2,BAX
4,2020-12-28,4,BAX
0,2020-08-26,4,BBY
1,2020-09-25,2,BBY
2,2020-10-26,4,BBY
3,2020-11-25,3,BBY
4,2020-12-28,2,BBY
0,2020-08-26,2,BDX
1,2020-09-25,2,BDX
2,2020-10-26,4,BDX
3,2020-11-25,2,BDX
4,2020-12-28,4,BDX
0,2020-08-26,3,BEN
1,2020-09-25,2,BEN
2,2020-10-26,3,BEN
3,2020-11-25,3,BEN
4,2020-12-28,4,BEN
0,2020-08-26,1,BF.B
1,2020-09-25,1,BF.B
2,2020-10-26,1,BF.B
3,2020-11-25,1,BF.B
4,2020-12-28,1,BF.B
0,2020-08-26,3,BIIB
1,2020-09-25,3,BIIB
2,2020-10-26,2,BIIB
3,2020-11-25,2,BIIB
4,2020-12-28,3,BIIB
0,2020-08-26,2,BIO
1,2020-09-25,3,BIO
2,2020-10-26,4,BIO
3,2020-11-25,2,BIO
4,2020-12-28,4,BIO
0,2020-08-26,3,BK
1,2020-09-25,2,BK
2,2020-10-26,4,BK
3,2020-11-25,4,BK
4,2020-12-28,4,BK
0,2020-08-26,4,BKNG
1,2020-09-25,2,BKNG
2,2020-10-26,3,BKNG
3,2020-11-25,4,BKNG
4,2020-12-28,4,BKNG
0,2020-08-26,2,BKR
1,2020-09-25,2,BKR
2,2020-10-26,4,BKR
3,2020-11-25,5,BKR
4,2020-12-28,4,BKR
0,2020-08-26,3,BLK
1,2020-09-25,2,BLK
2,2020-10-26,4,BLK
3,2020-11-25,4,BLK
4,2020-12-28,4,BLK
0,2020-08-26,4,BLL
1,2020-09-25,4,BLL
2,2020-10-26,4,BLL
3,2020-11-25,4,BLL
4,2020-12-28,2,BLL
0,2020-08-26,4,BMY
1,2020-09-25,2,BMY
2,2020-10-26,3,BMY
