"Building","Floor","Suite","Room","Space","Pct","Area","Stations","Category","Description","Room Use (S)","CPEC Code","Department","Program","System (S/C/R)","Cost Codes","PI/Manager","Occupants","Utilization","Home Page"
"Center Hall","Basement","","(CE)B09","","100%","64","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=72577"
"Center Hall","Basement","","(CE)B10","","100%","60","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=77886"
"Center Hall","Basement","","(CU)171-B-0","","100%","445","","U - Covered Unenclosed","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=101327"
"Center Hall","Basement","","(M)B01","","100%","1431","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47805"
"Center Hall","Basement","","(M)B02","","100%","299","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47806"
"Center Hall","Basement","","(M)B03","","100%","56","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47807"
"Center Hall","Basement","","(M)B04","","100%","170","","M - Mechanical Space","Telecom Node S","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47808"
"Center Hall","Basement","","(M)B05","","100%","65","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47809"
"Center Hall","Basement","","(M)B06","","100%","105","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47810"
"Center Hall","Basement","","(M)B07","","100%","105","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47811"
"Center Hall","Basement","","(M)B08","","100%","142","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47812"
"Center Hall","Basement","","(M)B11","","100%","606","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=65365"
"Center Hall","Basement","","(MS)B51","","100%","31","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=72578"
"Center Hall","Basement","","(MS)B52","","100%","12","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=72579"
"Center Hall","Basement","","(MS)B53","","100%","38","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=72580"
"Center Hall","First Floor","","(C)100","","100%","353","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47290"
"Center Hall","First Floor","","(C)102","","100%","141","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47291"
"Center Hall","First Floor","","(C)108A","","100%","376","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47292"
"Center Hall","First Floor","","(C)112A","","100%","376","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47293"
"Center Hall","First Floor","","(C)118","","100%","423","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47294"
"Center Hall","First Floor","","(CE)145","","100%","60","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=77893"
"Center Hall","First Floor","","(CE)146","","100%","65","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=77894"
"Center Hall","First Floor","","(CU)171-1-3","","100%","832","","U - Covered Unenclosed","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=101318"
"Center Hall","First Floor","","(CU)171-1-4","","100%","823","","U - Covered Unenclosed","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=101319"
"Center Hall","First Floor","","(J)121","","100%","31","","J - Custodial Support","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47297"
"Center Hall","First Floor","","(M)103","","100%","166","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47302"
